Judul,Tanggal,Link
BLS FH UNAIR Raih Gelar Juara Pertama Sepanjang Sejarah pada Kompetisi Penyusunan Kontrak,29/08/2022,https://www.unair.ac.id/bls-fh-unair-raih-gelar-juara-pertama-sepanjang-sejarah-pada-kompetisi-penyusunan-kontrak/
Mahasiswa UNAIR Sabet Juara I dalam Ajang Liga E-Sport Nasional,26/08/2022,https://www.unair.ac.id/mahasiswa-unair-sabet-juara-i-dalam-ajang-liga-e-sport-nasional/
"Cegah Generasi Sandwich, Tim UNAIR Raih Juara 2 Lomba Esai Nasional",25/08/2022,https://www.unair.ac.id/cegah-generasi-sandwich-tim-unair-raih-juara-2-lomba-esai-nasional/
Mahasiswi Ilmu Sejarah Raih Juara Berkat Ide Cegah Ketimpangan Pangan,18/08/2022,https://www.unair.ac.id/mahasiswi-ilmu-sejarah-raih-juara-berkat-ide-cegah-ketimpangan-pangan/
Mahasiswa FST UNAIR Teliti Potensi Daun Telinga Buatan Sebagai Solusi Kasus Microtia,18/08/2022,https://www.unair.ac.id/mahasiswa-fst-unair-teliti-potensi-daun-telinga-buatan-sebagai-solusi-kasus-microtia/
Sabet Juara 1 Esai Kedokteran Gigi Lewat Inovasi dentSchool,15/08/2022,https://www.unair.ac.id/sabet-juara-1-esai-kedokteran-gigi-lewat-inovasi-dentschool/
Mahasiswi FKG Sabet Juara 2 Lomba Inovasi Kedokteran Gigi di Bali,15/08/2022,https://www.unair.ac.id/mahasiswi-fkg-sabet-juara-2-lomba-inovasi-kedokteran-gigi-di-bali/
"Atlet Wushu UNAIR, Alisya Mellynar Raih Emas dan Perunggu di Ajang ASEAN University Games 2022",12/08/2022,https://www.unair.ac.id/atlet-wushu-unair-alisya-mellynar-raih-emas-dan-perunggu-di-ajang-asean-university-games-2022/
Mahasiswa UNAIR Raih Juara 2 Lomba Paper and Conference IESS 2022,11/08/2022,https://www.unair.ac.id/mahasiswa-unair-raih-juara-2-lomba-paper-and-conference-iess-2022/
Tiga Mahasiswa Bahasa dan Sastra Inggris Raih Juara 1 Lomba Debat Nasional VDC 2022,08/08/2022,https://www.unair.ac.id/tiga-mahasiswa-bahasa-dan-sastra-inggris-raih-juara-1-lomba-debat-nasional-vdc-2022/
2 Mahasiswa UNAIR Raih Juara 2 Duta Wisata Kabupaten Rembang 2022,03/08/2022,https://www.unair.ac.id/2-mahasiswa-unair-raih-juara-2-duta-wisata-kabupaten-rembang-2022/
Tiga Ksatria Airlangga Sabet Juara I Lomba Debat Nasional,02/08/2022,https://www.unair.ac.id/tiga-ksatria-airlangga-sabet-juara-i-lomba-debat-nasional/
Mahasiswa Unair Raih Juara II dalam Ajang National Essay Writing Competition BCB Ar-Raniry Talent 2022,29/07/2022,https://www.unair.ac.id/mahasiswa-unair-raih-juara-ii-dalam-ajang-national-essay-writing-competition-bcb-ar-raniry-talent-2022/
Rifky Mahasiswa FKH UNAIR Sabet Tiga Medali Emas di PORPROV JATIM 2022,29/07/2022,https://www.unair.ac.id/rifky-mahasiswa-fkh-unair-sabet-tiga-medali-emas-di-porprov-jatim-2022/
Bangga! Alumnus UNAIR Raih Medali Emas pada Ajang SEA Games,08/06/2022,https://www.unair.ac.id/bangga-alumnus-unair-raih-medali-emas-pada-ajang-sea-games/
Kolaborasi Antarkan Mahasiswa UNAIR Juara 2 Lomba Debat Nasional GCE 2022,07/06/2022,https://www.unair.ac.id/kolaborasi-antarkan-mahasiswa-unair-juara-2-lomba-debat-nasional-gce-2022/
Lima Mahasiswi FIB UNAIR Menangi Kompetisi Bisnis Internasional,02/06/2022,https://www.unair.ac.id/lima-mahasiswi-fib-unair-menangi-kompetisi-bisnis-internasional/
Tim UNAIR Raih 3 Nominasi dalam Ajang International Youth Business Competition,24/05/2022,https://www.unair.ac.id/tim-unair-raih-3-nominasi-dalam-ajang-international-youth-business-competition/
Tim UNAIR Raih Juara 3 Lomba Debat Nasional UCDC 2022,23/05/2022,https://www.unair.ac.id/tim-unair-raih-juara-3-lomba-debat-nasional-ucdc-2022/
Gagas “DEDI MELI” Mahasiswa UNAIR Raih Juara III dalam Ajang Article Writing LEADS Indonesia,20/05/2022,https://www.unair.ac.id/gagas-dedi-meli-mahasiswa-unair-raih-juara-iii-dalam-ajang-article-writing-leads-indonesia/
HEBAT! Mahasiswa UNAIR Raih Medali Emas dalam Ajang SEA GAMES,19/05/2022,https://www.unair.ac.id/hebat-mahasiswa-unair-raih-medali-emas-dalam-ajang-sea-games/
Mahasiswa Farmasi UNAIR Raih 3rd Best Editorial Paper di Asia Pacific Pharmaceutical Editorial Competition 2022,25/04/2022,https://www.unair.ac.id/mahasiswa-farmasi-unair-raih-3rd-best-editorial-paper-di-asia-pacific-pharmaceutical-editorial-competition-2022/
"Gagas Bakso Ikan Ramah Penderita Diabetes, Mahasiswa UNAIR Raih Medali Perunggu",18/04/2022,https://www.unair.ac.id/gagas-bakso-ikan-ramah-penderita-diabetes-mahasiswa-unair-raih-medali-perunggu/
Peraih Best Inspiratif Muslimah Syar’i 2022: Hijab Bukan Penghalang Tingkatkan Potensi,18/04/2022,https://www.unair.ac.id/peraih-best-inspiratif-muslimah-syari-2022-hijab-bukan-penghalang-tingkatkan-potensi/
"Teliti Zat Charantin dalam Pare, Mahasiswa FTMM Raih Gold Medal Kompetisi Internasional",18/04/2022,https://www.unair.ac.id/teliti-zat-charantin-dalam-pare-mahasiswa-ftmm-raih-gold-medal-kompetisi-internasional/
"Sosiologi UNAIR Tembus Peringkat 251-300 Terbaik Dunia, Dekan FISIP: Yang Penting Kompetensi Lulusan",12/04/2022,https://www.unair.ac.id/sosiologi-unair-tembus-peringkat-251-300-terbaik-dunia-dekan-fisip-yang-penting-kompetensi-lulusan/
Juarai Kompetisi dengan Kenalkan Farmasi Berbahan Herbal ke Dunia Internasional,11/04/2022,https://www.unair.ac.id/juarai-kompetisi-dengan-kenalkan-farmasi-berbahan-herbal-ke-dunia-internasional/
Bidang Art & Humanities UNAIR Berhasil Peroleh Peringkat 401-450 Dunia Versi QS WUR 2022,11/04/2022,https://www.unair.ac.id/bidang-art-humanities-unair-berhasil-peroleh-peringkat-401-450-dunia-versi-qs-wur-2022/
"QS WUR 2022, FH UNAIR Duduki Peringkat Terbaik di Indonesia",09/04/2022,https://www.unair.ac.id/qs-wur-2022-fh-unair-duduki-peringkat-terbaik-di-indonesia/
"Bikin Bangga, Mahasiswa UNAIR Raih Medali Emas POMPROV 2021",08/04/2022,https://www.unair.ac.id/bikin-bangga-mahasiswa-unair-raih-medali-emas-pomprov-2021/
"Manfaatkan Daun Anting-Anting untuk Asam Urat, Raih 2 Lomba Business Plan",08/04/2022,https://www.unair.ac.id/manfaatkan-daun-anting-anting-untuk-asam-urat-raih-2-lomba-business-plan/
6 Ksatria Airlangga Harumkan Almamater Lewat Ajang Debat Hukum Nasional,07/04/2022,https://www.unair.ac.id/6-ksatria-airlangga-harumkan-almamater-lewat-ajang-debat-hukum-nasional/
Tim UNAIR Sabet Juara 2 Olimpiade Akuntansi,07/04/2022,https://www.unair.ac.id/tim-unair-sabet-juara-2-olimpiade-akuntansi/
"Berusia 14 Tahun, Ratu Lolos SNMPTN UNAIR",04/04/2022,https://www.unair.ac.id/kisah-ratu-siswa-termuda-yang-lolos-snmptn-unair/
Mahasiswa UNAIR Raih Medali Perak POMPROV 2022,30/03/2022,https://www.unair.ac.id/mahasiswa-unair-raih-medali-perak-porprov-2022/
"Singgung Urgensi Hak Privasi Data Pribadi Pengguna Fintech, Mahasiswa FH Raih Juara II Kompetisi Legal Opinion",25/03/2022,https://www.unair.ac.id/singgung-urgensi-hak-privasi-data-pribadi-pengguna-fintech-mahasiswa-fh-raih-juara-ii-kompetisi-legal-opinion/
